Molecule Name,Structure,CDD Number,SMILES,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Concentration (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Inhibition (%)
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,2.48799991607666,-0.724
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.194000005722046,-0.264
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,1.55200004577637,7.2
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.100000001490116,3.42
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.776000022888184,-2.52
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.0500000007450581,-3.3
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,99.5,58
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,7.46299982070923,12.1
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,49.75,38.4
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,2.48799991607666,1.84
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,24.8799991607666,29.3
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,1.55200004577637,9.69
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,12.4399995803833,11.4
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,0.776000022888184,0.25
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,7.46299982070923,18.9
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,0.388000011444092,12.6
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,2.48799991607666,1.21
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,0.194000005722046,-1.45
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,1.55200004577637,6.2
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,0.100000001490116,3
CVD-0020428, ,,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,ALP-UNI-ed5cdfd2-3,73.1,57.4,93.1,0.776000022888184,-2.13
